IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.221.215.200,2023,true,TPE,Asia Pacific,Taipei,75 ms,24010 kB/s
18.183.137.85,2083,true,LAX,North America,Los Angeles,84 ms,20607 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,111 ms,19229 kB/s
132.145.83.155,33799,true,HKG,Asia Pacific,Hong Kong,83 ms,18896 kB/s
8.218.18.132,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,18598 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,81 ms,13232 kB/s
193.122.122.16,40377,true,LAX,North America,Los Angeles,81 ms,13141 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,175 ms,12539 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,170 ms,11234 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,84 ms,10729 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,10548 kB/s
154.197.121.99,8443,true,SJC,North America,San Jose,174 ms,10115 kB/s
140.238.26.92,20855,true,LAX,North America,Los Angeles,78 ms,9880 kB/s
89.208.242.96,8443,true,LAX,North America,Los Angeles,175 ms,9628 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,224 ms,9206 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,228 ms,9127 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,219 ms,9010 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,236 ms,8925 kB/s
38.59.226.113,34237,true,LHR,Europe,London,209 ms,8895 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,227 ms,8841 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,213 ms,8830 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,229 ms,8642 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,217 ms,8618 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,231 ms,8570 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,225 ms,8471 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,234 ms,8440 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,170 ms,8418 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,239 ms,8415 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,233 ms,8375 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,219 ms,8368 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,246 ms,8331 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,233 ms,8306 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,232 ms,8291 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,247 ms,8290 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,230 ms,8272 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,176 ms,8253 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,221 ms,8249 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,240 ms,8240 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,226 ms,8229 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,225 ms,8218 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,236 ms,8118 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,242 ms,8091 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,228 ms,8039 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,242 ms,8010 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,225 ms,7994 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,228 ms,7914 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,228 ms,7909 kB/s
159.65.165.75,8443,true,EWR,North America,Newark,254 ms,7899 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,226 ms,7800 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,104 ms,7766 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,229 ms,7744 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,227 ms,7693 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,243 ms,7657 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,243 ms,7603 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,234 ms,7585 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,237 ms,7583 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,236 ms,7579 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,225 ms,7551 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,228 ms,7467 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,225 ms,7403 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,228 ms,7012 kB/s
218.54.200.63,30048,true,HKG,Asia Pacific,Hong Kong,112 ms,6983 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,179 ms,6833 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,179 ms,6302 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,235 ms,6199 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,237 ms,6189 kB/s
218.54.154.5,11423,true,NRT,Asia Pacific,Tokyo,144 ms,6179 kB/s
38.59.238.175,34237,true,LHR,Europe,London,236 ms,6047 kB/s
180.70.218.108,10411,true,ICN,Asia Pacific,Seoul,98 ms,5995 kB/s
27.50.48.108,443,true,SJC,North America,San Jose,175 ms,5678 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,73 ms,5558 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,240 ms,5447 kB/s
110.11.25.32,10517,true,KIX,Asia Pacific,Osaka,118 ms,5275 kB/s
110.11.25.32,10488,true,KIX,Asia Pacific,Osaka,115 ms,5223 kB/s
185.212.63.200,443,true,LHR,Europe,London,197 ms,5147 kB/s
174.136.205.41,50008,true,SJC,North America,San Jose,170 ms,5137 kB/s
219.249.124.238,28350,true,KIX,Asia Pacific,Osaka,114 ms,5118 kB/s
175.121.23.104,38422,true,KIX,Asia Pacific,Osaka,105 ms,5089 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,178 ms,5074 kB/s
202.81.231.30,55576,true,HKG,Asia Pacific,Hong Kong,79 ms,4856 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,223 ms,4378 kB/s
58.238.88.129,38507,true,NRT,Asia Pacific,Tokyo,137 ms,4314 kB/s
14.54.63.38,50030,true,ICN,Asia Pacific,Seoul,118 ms,4109 kB/s
43.134.166.213,10444,true,SIN,Asia Pacific,Singapore,90 ms,3880 kB/s
185.212.62.119,443,true,LHR,Europe,London,211 ms,3660 kB/s
175.125.207.253,33060,true,HKG,Asia Pacific,Hong Kong,116 ms,3601 kB/s
138.197.131.113,2053,true,YYZ,North America,Toronto,244 ms,3229 kB/s
43.159.35.190,49142,true,SIN,Asia Pacific,Singapore,102 ms,2803 kB/s
58.238.88.129,10106,true,ICN,Asia Pacific,Seoul,89 ms,2767 kB/s
45.58.37.185,2053,true,YYZ,North America,Toronto,226 ms,2557 kB/s
193.203.203.102,8443,true,YYZ,North America,Toronto,275 ms,2459 kB/s
219.240.54.189,10434,true,HKG,Asia Pacific,Hong Kong,112 ms,2453 kB/s
118.216.16.203,10025,true,HKG,Asia Pacific,Hong Kong,118 ms,2445 kB/s
110.11.25.32,10602,true,KIX,Asia Pacific,Osaka,133 ms,2397 kB/s
8.222.153.11,2083,true,LAX,North America,Los Angeles,390 ms,2393 kB/s
185.114.72.67,443,true,MAD,Europe,Madrid,276 ms,2270 kB/s
124.111.188.119,19091,true,NRT,Asia Pacific,Tokyo,121 ms,2183 kB/s
159.89.112.72,8443,true,YYZ,North America,Toronto,253 ms,2030 kB/s
1.232.40.93,39460,true,LAX,North America,Los Angeles,215 ms,1786 kB/s
38.180.128.251,2053,true,SYD,Oceania,Sydney,315 ms,1427 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,223 ms,1365 kB/s
222.233.248.165,38344,true,NRT,Asia Pacific,Tokyo,107 ms,1359 kB/s
178.128.225.209,2053,true,YYZ,North America,Toronto,249 ms,1347 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,170 ms,1189 kB/s
51.195.165.203,443,true,LHR,Europe,London,240 ms,1038 kB/s
164.152.17.14,443,true,ORD,North America,Chicago,242 ms,838 kB/s
47.241.209.61,443,true,SIN,Asia Pacific,Singapore,89 ms,679 kB/s
43.154.196.20,65432,true,HKG,Asia Pacific,Hong Kong,67 ms,639 kB/s
103.137.63.37,46832,true,HKG,Asia Pacific,Hong Kong,120 ms,574 kB/s
211.75.74.232,4443,true,LAX,North America,Los Angeles,88 ms,413 kB/s
18.100.124.0,8443,true,MAD,Europe,Madrid,221 ms,290 kB/s
170.64.228.44,8443,true,SYD,Oceania,Sydney,344 ms,271 kB/s
211.246.192.9,10051,true,HKG,Asia Pacific,Hong Kong,321 ms,189 kB/s
124.50.116.202,36831,true,HKG,Asia Pacific,Hong Kong,316 ms,188 kB/s
170.64.161.80,8443,true,SYD,Oceania,Sydney,325 ms,183 kB/s
45.86.229.176,8443,true,MAD,Europe,Madrid,308 ms,145 kB/s
5.188.181.229,2053,true,MAD,Europe,Madrid,289 ms,83 kB/s
38.180.33.187,34237,true,MAD,Europe,Madrid,370 ms,34 kB/s
20.167.48.9,8443,true,SYD,Oceania,Sydney,187 ms,32 kB/s
129.151.152.254,443,true,AMS,Europe,Amsterdam,290 ms,21 kB/s
152.70.234.188,443,true,HKG,Asia Pacific,Hong Kong,79 ms,0 kB/s
130.162.140.215,443,true,LAX,North America,Los Angeles,77 ms,0 kB/s
IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
35.221.215.200	2023	TRUE	TPE	Asia Pacific	Taipei	83 ms	22760 kB/s
18.183.137.85	2083	TRUE	LAX	North America	Los Angeles	73 ms	22585 kB/s
132.145.83.155	33799	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	21780 kB/s
146.56.177.67	61153	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	20446 kB/s
129.154.212.181	44699	TRUE	NRT	Asia Pacific	Tokyo	72 ms	20292 kB/s
154.197.121.13	8443	TRUE	SJC	North America	San Jose	184 ms	12566 kB/s
38.59.226.113	34237	TRUE	LHR	Europe	London	210 ms	10430 kB/s
8.222.160.61	2096	TRUE	SIN	Asia Pacific	Singapore	231 ms	9007 kB/s
47.236.10.100	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	8846 kB/s
8.222.187.107	2087	TRUE	SIN	Asia Pacific	Singapore	213 ms	8698 kB/s
38.147.184.30	45006	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	8685 kB/s
8.222.238.141	2053	TRUE	SIN	Asia Pacific	Singapore	233 ms	8676 kB/s
154.197.121.254	8443	TRUE	SJC	North America	San Jose	178 ms	8648 kB/s
8.222.145.110	2053	TRUE	SIN	Asia Pacific	Singapore	243 ms	8646 kB/s
8.222.248.188	2096	TRUE	SIN	Asia Pacific	Singapore	217 ms	8549 kB/s
8.222.229.22	2087	TRUE	SIN	Asia Pacific	Singapore	216 ms	8531 kB/s
47.236.104.98	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	8528 kB/s
217.163.76.89	2053	TRUE	SJC	North America	San Jose	179 ms	8522 kB/s
47.236.83.239	2083	TRUE	SIN	Asia Pacific	Singapore	225 ms	8511 kB/s
47.236.114.167	2096	TRUE	SIN	Asia Pacific	Singapore	242 ms	8481 kB/s
8.222.215.228	2083	TRUE	SIN	Asia Pacific	Singapore	226 ms	8457 kB/s
47.236.144.208	2087	TRUE	SIN	Asia Pacific	Singapore	241 ms	8382 kB/s
202.81.231.30	55576	TRUE	HKG	Asia Pacific	Hong Kong	94 ms	8380 kB/s
8.222.160.61	2087	TRUE	SIN	Asia Pacific	Singapore	241 ms	8378 kB/s
154.197.121.99	8443	TRUE	SJC	North America	San Jose	172 ms	8370 kB/s
8.222.129.245	2083	TRUE	SIN	Asia Pacific	Singapore	245 ms	8366 kB/s
47.236.83.239	2096	TRUE	SIN	Asia Pacific	Singapore	238 ms	8325 kB/s
89.208.242.96	8443	TRUE	LAX	North America	Los Angeles	178 ms	8320 kB/s
8.222.227.191	2096	TRUE	SIN	Asia Pacific	Singapore	250 ms	8262 kB/s
8.222.224.162	2096	TRUE	SIN	Asia Pacific	Singapore	240 ms	8231 kB/s
47.236.123.133	2096	TRUE	SIN	Asia Pacific	Singapore	230 ms	8172 kB/s
47.236.148.174	2083	TRUE	SIN	Asia Pacific	Singapore	223 ms	8167 kB/s
47.236.7.13	2087	TRUE	SIN	Asia Pacific	Singapore	231 ms	8161 kB/s
47.236.65.177	2096	TRUE	SIN	Asia Pacific	Singapore	241 ms	8122 kB/s
8.222.134.170	2053	TRUE	SIN	Asia Pacific	Singapore	248 ms	8110 kB/s
47.236.65.177	2087	TRUE	SIN	Asia Pacific	Singapore	228 ms	8050 kB/s
8.222.154.50	2053	TRUE	SIN	Asia Pacific	Singapore	238 ms	8049 kB/s
8.222.215.228	2096	TRUE	SIN	Asia Pacific	Singapore	232 ms	8032 kB/s
8.222.211.124	2096	TRUE	SIN	Asia Pacific	Singapore	231 ms	8001 kB/s
8.222.227.191	2083	TRUE	SIN	Asia Pacific	Singapore	273 ms	7986 kB/s
140.238.26.92	20855	TRUE	LAX	North America	Los Angeles	76 ms	7976 kB/s
47.236.15.73	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	7972 kB/s
8.222.224.162	2087	TRUE	SIN	Asia Pacific	Singapore	227 ms	7969 kB/s
8.222.182.10	2096	TRUE	SIN	Asia Pacific	Singapore	255 ms	7957 kB/s
47.236.161.155	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	7950 kB/s
8.222.182.10	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	7946 kB/s
8.222.168.24	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	7931 kB/s
47.236.103.153	2053	TRUE	SIN	Asia Pacific	Singapore	250 ms	7900 kB/s
47.236.87.246	2083	TRUE	SIN	Asia Pacific	Singapore	232 ms	7888 kB/s
8.222.150.197	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	7850 kB/s
8.222.155.242	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	7814 kB/s
8.222.150.197	2053	TRUE	SIN	Asia Pacific	Singapore	224 ms	7801 kB/s
47.236.79.77	2083	TRUE	SIN	Asia Pacific	Singapore	218 ms	7792 kB/s
8.222.136.196	2087	TRUE	SIN	Asia Pacific	Singapore	228 ms	7773 kB/s
47.236.7.206	2087	TRUE	SIN	Asia Pacific	Singapore	230 ms	7762 kB/s
8.222.130.137	2083	TRUE	SIN	Asia Pacific	Singapore	227 ms	7541 kB/s
8.222.211.124	2087	TRUE	SIN	Asia Pacific	Singapore	225 ms	7398 kB/s
8.222.168.24	2087	TRUE	SIN	Asia Pacific	Singapore	232 ms	7397 kB/s
8.222.150.197	2096	TRUE	SIN	Asia Pacific	Singapore	227 ms	7395 kB/s
8.222.145.164	2083	TRUE	SIN	Asia Pacific	Singapore	231 ms	7364 kB/s
8.222.137.178	2083	TRUE	SIN	Asia Pacific	Singapore	246 ms	7347 kB/s
14.54.63.38	50030	TRUE	ICN	Asia Pacific	Seoul	91 ms	7231 kB/s
217.163.76.107	2053	TRUE	SJC	North America	San Jose	172 ms	6932 kB/s
180.70.218.108	10411	TRUE	ICN	Asia Pacific	Seoul	93 ms	6758 kB/s
38.59.238.175	34237	TRUE	LHR	Europe	London	201 ms	6706 kB/s
175.121.23.104	38422	TRUE	HKG	Asia Pacific	Hong Kong	149 ms	6543 kB/s
193.122.122.16	40377	TRUE	LAX	North America	Los Angeles	69 ms	6485 kB/s
8.222.137.166	2083	TRUE	SIN	Asia Pacific	Singapore	232 ms	6291 kB/s
164.152.17.14	443	TRUE	ORD	North America	Chicago	261 ms	6278 kB/s
159.89.112.72	8443	TRUE	YYZ	North America	Toronto	257 ms	6152 kB/s
217.163.76.88	443	TRUE	SJC	North America	San Jose	173 ms	6151 kB/s
124.111.188.119	19091	TRUE	KIX	Asia Pacific	Osaka	112 ms	5992 kB/s
219.240.54.189	10434	TRUE	ICN	Asia Pacific	Seoul	70 ms	5991 kB/s
219.249.124.238	28350	TRUE	NRT	Asia Pacific	Tokyo	127 ms	5860 kB/s
218.54.200.63	30048	TRUE	ICN	Asia Pacific	Seoul	69 ms	5552 kB/s
217.163.76.75	443	TRUE	SJC	North America	San Jose	178 ms	5401 kB/s
217.163.76.59	443	TRUE	SJC	North America	San Jose	168 ms	5340 kB/s
27.50.48.108	443	TRUE	SJC	North America	San Jose	175 ms	4841 kB/s
175.125.207.253	33060	TRUE	HKG	Asia Pacific	Hong Kong	109 ms	4308 kB/s
185.212.62.119	443	TRUE	LHR	Europe	London	210 ms	4286 kB/s
154.197.121.248	8443	TRUE	SJC	North America	San Jose	172 ms	4280 kB/s
58.238.88.129	10106	TRUE	ICN	Asia Pacific	Seoul	104 ms	4271 kB/s
154.197.121.127	443	TRUE	SJC	North America	San Jose	173 ms	4171 kB/s
1.232.40.93	39460	TRUE	LAX	North America	Los Angeles	212 ms	4034 kB/s
152.70.234.188	443	TRUE	LAX	North America	Los Angeles	69 ms	4025 kB/s
185.212.63.200	443	TRUE	LHR	Europe	London	210 ms	3978 kB/s
218.54.154.5	11423	TRUE	HKG	Asia Pacific	Hong Kong	150 ms	3766 kB/s
174.136.205.41	50008	TRUE	SJC	North America	San Jose	185 ms	3626 kB/s
110.13.212.97	20880	TRUE	ICN	Asia Pacific	Seoul	86 ms	3618 kB/s
43.159.35.190	49142	TRUE	SIN	Asia Pacific	Singapore	87 ms	3562 kB/s
43.134.166.213	10444	TRUE	SIN	Asia Pacific	Singapore	95 ms	3503 kB/s
43.156.56.22	7676	TRUE	SIN	Asia Pacific	Singapore	85 ms	3110 kB/s
8.222.153.11	2083	TRUE	HKG	Asia Pacific	Hong Kong	323 ms	2708 kB/s
110.11.25.32	10602	TRUE	HKG	Asia Pacific	Hong Kong	199 ms	2450 kB/s
138.197.131.113	2053	TRUE	YYZ	North America	Toronto	240 ms	2281 kB/s
8.218.18.132	2053	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	1902 kB/s
159.65.165.75	8443	TRUE	EWR	North America	Newark	253 ms	1896 kB/s
178.128.225.209	2053	TRUE	YYZ	North America	Toronto	274 ms	1762 kB/s
118.216.16.203	10025	TRUE	HKG	Asia Pacific	Hong Kong	120 ms	1723 kB/s
150.136.241.40	8443	TRUE	IAD	North America	Ashburn	250 ms	1164 kB/s
43.154.196.20	65432	TRUE	HKG	Asia Pacific	Hong Kong	106 ms	1115 kB/s
38.180.128.251	2053	TRUE	SYD	Oceania	Sydney	314 ms	1112 kB/s
222.233.248.165	38344	TRUE	NRT	Asia Pacific	Tokyo	139 ms	952 kB/s
47.241.209.61	443	TRUE	SIN	Asia Pacific	Singapore	90 ms	687 kB/s
211.44.160.106	10096	TRUE	ICN	Asia Pacific	Seoul	74 ms	676 kB/s
118.163.128.81	17333	TRUE	KHH	Asia Pacific	Kaohsiung City	91 ms	579 kB/s
110.11.25.32	10517	TRUE	HKG	Asia Pacific	Hong Kong	193 ms	387 kB/s
129.151.152.254	443	TRUE	AMS	Europe	Amsterdam	279 ms	371 kB/s
103.137.63.37	46832	TRUE	HKG	Asia Pacific	Hong Kong	102 ms	354 kB/s
211.75.74.232	4443	TRUE	LAX	North America	Los Angeles	88 ms	284 kB/s
20.167.48.9	8443	TRUE	SYD	Oceania	Sydney	182 ms	266 kB/s
203.57.51.179	8443	TRUE	SYD	Oceania	Sydney	345 ms	265 kB/s
170.64.161.80	8443	TRUE	SYD	Oceania	Sydney	339 ms	178 kB/s
185.114.72.67	443	TRUE	MAD	Europe	Madrid	275 ms	174 kB/s
193.203.203.102	8443	TRUE	YYZ	North America	Toronto	266 ms	142 kB/s
45.58.37.185	2053	TRUE	YYZ	North America	Toronto	260 ms	64 kB/s
47.128.164.52	9999	TRUE	SIN	Asia Pacific	Singapore	107 ms	57 kB/s
5.188.181.229	2053	TRUE	MAD	Europe	Madrid	293 ms	51 kB/s
45.86.229.176	8443	TRUE	MAD	Europe	Madrid	283 ms	38 kB/s
170.64.228.44	8443	TRUE	SYD	Oceania	Sydney	349 ms	14 kB/s
141.144.253.109	443	TRUE	FRA	Europe	Frankfurt	276 ms	12 kB/s
211.246.192.9	10051	TRUE	HKG	Asia Pacific	Hong Kong	278 ms	0 kB/s
38.180.33.187	34237	TRUE	MAD	Europe	Madrid	353 ms	0 kB/s
58.238.88.129	38507	TRUE	HKG	Asia Pacific	Hong Kong	166 ms	0 kB/s
51.195.165.203	443	TRUE	LHR	Europe	London	317 ms	0 kB/s
